method,mean_similarity,mean_baseline_mixedBL,mean_baseline_savedBL,mean_test_stat_mixedBL,mean_test_stat_savedBL,mean_p_value_mixedBL,mean_p_value_savedBL,amount_pos_sign_mixedBL,amount_pos_sign_savedBL,amount_pos_insign_mixedBL,amount_pos_insign_savedBL,amount_neg_sign_mixedBL,amount_neg_sign_savedBL,amount_neg_insign_mixedBL,amount_neg_insign_savedBL
cosine,0.38995086173489274,0.3503228686997698,0.3489909943015903,3.909890296216889,4.094792846130835,0.033270404335415574,0.030034218399855005,95,95,10,10,51,50,4,5
euclidian,0.19303783644887024,0.24476661954923098,0.29423674196579946,-8.554211085949742,-12.774676515671194,0.10134163009641198,0.009117030051548585,10,2,14,4,112,151,24,3
manhattan,0.1991836128882041,0.24776084616476748,0.2974267032125597,-7.886697605058491,-12.030632709180173,0.12575878159903744,0.007985154003794404,12,4,20,2,104,151,24,3
canberra,0.1192060271904555,0.12285842099185736,0.14132402165611083,-1.4518070265566265,-3.848650816996308,0.07201243982574172,0.08933995928795069,56,36,17,9,71,97,16,18
