pos,mean_similarity,mean_baseline_mixedBL,mean_baseline_savedBL,mean_test_stat_mixedBL,mean_test_stat_savedBL,mean_p_value_mixedBL,mean_p_value_savedBL,amount_pos_sign_mixedBL,amount_pos_sign_savedBL,amount_pos_insign_mixedBL,amount_pos_insign_savedBL,amount_neg_sign_mixedBL,amount_neg_sign_savedBL,amount_neg_insign_mixedBL,amount_neg_insign_savedBL
VERB,0.22628835596140787,0.2264098543753398,0.26573507816334685,-0.27090714897719187,-4.2972430179075385,0.12289231673645395,0.03811585539969342,44,34,21,5,67,112,28,9
ADJ,0.21914742937627435,0.22946517759415266,0.26872915724173996,-1.1135181504580582,-4.59978186512153,0.0678326893860712,0.06103391979352903,51,29,19,16,75,102,15,13
NOUN,0.2058682316163795,0.2223282512473078,0.26266969839687915,-2.199218304165961,-6.144732569427336,0.13930109453936237,0.03157642710665374,33,28,20,4,83,123,24,5
all,0.2500743213083609,0.2875054721888254,0.2848445273340944,-10.399181817746758,-9.517409743260437,0.002357155194719186,0.005750159443272488,45,46,1,0,113,112,1,2
