weighted,mean_similarity,mean_baseline_savedBL,mean_baseline_mixedBL,mean_test_stat_savedBL,mean_test_stat_mixedBL,mean_p_value_savedBL,mean_p_value_mixedBL,amount_pos_sign_savedBL,amount_pos_sign_mixedBL,amount_pos_insign_savedBL,amount_pos_insign_mixedBL,amount_neg_sign_savedBL,amount_neg_sign_mixedBL,amount_neg_insign_savedBL,amount_neg_insign_mixedBL
weighted,-0.35616542612368757,-0.2595965483765019,-0.2570282953410555,-6.86456927450831,-7.146294484703569,0.026219618798925155,0.027601660958005658,79,78,13,12,220,221,8,9
unweighted,-0.36192754969238,-0.2613464226271902,-0.26164273531446275,-6.378179823792128,-6.431840942109264,0.027900118967823878,0.026531581125433162,74,74,16,14,221,221,9,11
