method,mean_similarity,mean_baseline_savedBL,mean_baseline_mixedBL,mean_test_stat_savedBL,mean_test_stat_mixedBL,mean_p_value_savedBL,mean_p_value_mixedBL,amount_pos_sign_savedBL,amount_pos_sign_mixedBL,amount_pos_insign_savedBL,amount_pos_insign_mixedBL,amount_neg_sign_savedBL,amount_neg_sign_mixedBL,amount_neg_insign_savedBL,amount_neg_insign_mixedBL
canberra,-0.722887057685375,-0.688948534135057,-0.6844064501050411,-3.3141215027692383,-3.8576957752229846,0.06318841798438465,0.06393834920644374,49,48,13,11,88,88,10,13
manhattan,-0.5446065568901162,-0.346689815267945,-0.348143451467696,-13.247469645025769,-13.16355105014512,0.0032273514401194746,0.003027348666895872,6,6,2,2,152,152,0,0
euclidian,-0.5586299986424741,-0.3552385869059727,-0.3553976700415993,-14.018699894936702,-14.008663015733706,0.011789487709138926,0.01262408063153267,3,3,4,3,151,152,2,2
cosine,0.3899376615858302,0.3489909943015903,0.3506055103033,4.094792846130835,3.8736389874761414,0.030034218399855005,0.028676705662005354,95,95,10,10,50,50,5,5
