pos,mean_similarity,mean_baseline_savedBL,mean_baseline_mixedBL,mean_test_stat_savedBL,mean_test_stat_mixedBL,mean_p_value_savedBL,mean_p_value_mixedBL,amount_pos_sign_savedBL,amount_pos_sign_mixedBL,amount_pos_insign_savedBL,amount_pos_insign_mixedBL,amount_neg_sign_savedBL,amount_neg_sign_mixedBL,amount_neg_insign_savedBL,amount_neg_insign_mixedBL
VERB,-0.3717656204263117,-0.27051696854462187,-0.27008477794926133,-4.463898107297991,-4.549592570468631,0.03272555784327439,0.03348637711254702,41,40,8,8,107,107,4,5
all,-0.3103657668192751,-0.23504651314469943,-0.23393928654082946,-10.799831660768563,-11.123648861326561,0.00012651881486990826,2.7050636438416027e-05,46,46,0,0,114,114,0,0
ADJ,-0.36142598179611984,-0.2609863625003915,-0.259215849138329,-4.836272334468708,-4.9782848772188215,0.04492096673766111,0.045090317328085085,37,37,16,14,103,104,4,5
NOUN,-0.3926285825904283,-0.2753360978176715,-0.2741021476826166,-6.385496094065613,-6.504744544611652,0.030466432137692668,0.02966273908980711,29,29,5,4,117,117,9,10
