metaphor-id,metaphor-name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,0.31992573577231015,0.36847997094673146,-11.915816317548199,4.9498696344257894e-30
2,active is life,all,0.3860914467620588,0.4124092908016213,-6.106819502804649,1.6533790853260648e-09
3,life is journey,all,0.29682752449673555,0.3767815125884112,-21.39020349298112,3.861363641697523e-79
4,failure is death,all,0.34967573494005266,0.36725338828708537,-4.40183486321136,1.2341722579823386e-05
5,success is life,all,0.3474556875794574,0.37769238875458716,-7.6055021734467445,8.780853094992741e-14
6,perceiving is eating,all,0.2783988716671006,0.37388030521407106,-31.080682328251118,1.2099435169389887e-135
7,affection is warmth,all,0.3044092445001926,0.36742074208685677,-14.736182309785175,3.3176075814757657e-43
8,money is liquid,all,0.23752674214038563,0.3783163001095549,-40.22279467767454,3.7679832098372343e-187
9,good is up,all,0.27892372653460634,0.3725547951346237,-25.366252854600084,3.2890340196126214e-102
10,bad is down,all,0.30220227081466605,0.38539595610468963,-21.92404175643044,3.3627977854621444e-82
1,importance is size,ADJ,0.2893565814068288,0.3814144439216454,-9.29483328125208,2.3157378404651213e-14
2,active is life,ADJ,0.3791462374322208,0.36403039075145327,1.1550231938988273,0.25151924948354015
3,life is journey,ADJ,0.32639341001157407,0.39100435665550026,-5.659184449486071,2.2875227897727367e-07
4,failure is death,ADJ,0.3275220180735176,0.35618477388255704,-2.664298534157838,0.00932781997909177
5,success is life,ADJ,0.3665511911665952,0.41269176997235024,-4.245049680816,5.844384110433807e-05
6,perceiving is eating,ADJ,0.3100307922304412,0.3622500861826012,-6.8204740897750895,1.566766834218396e-09
7,affection is warmth,ADJ,0.37540944582886165,0.35763691619941557,1.4431744767767516,0.15287569002702145
8,money is liquid,ADJ,0.24369521862194862,0.39383966926827596,-11.444856246760674,1.5956332011257982e-18
9,good is up,ADJ,0.29920429046507235,0.3877582150316661,-7.383590872580276,1.2887218057432205e-10
10,bad is down,ADJ,0.30472566923241556,0.3776402124135434,-8.064554521384986,6.044310934856692e-12
1,importance is size,VERB,0.43121880302090704,0.3618422939545964,5.312970936988755,9.48464017301534e-07
2,active is life,VERB,0.4610964865596206,0.48914464269127883,-3.6113304325452553,0.0005299044508568367
3,life is journey,VERB,0.4147185720043418,0.36381348334980157,4.041907461620013,0.00012113744058942176
4,failure is death,VERB,0.4525939476342849,0.37532442725551074,9.427679078971586,1.2709596798407459e-14
5,success is life,VERB,0.45213746399055293,0.35168213822203154,9.786459377060789,2.5229432853725985e-15
6,perceiving is eating,VERB,0.38428536940504004,0.38724036850110427,-0.35153040811219266,0.7261146552608904
7,affection is warmth,VERB,0.35777242481708527,0.37031057953768676,-1.3296767960883775,0.18740378295475602
8,money is liquid,VERB,0.32899994651476544,0.37627471375379806,-6.133122494648221,3.097577632588942e-08
9,good is up,VERB,0.4217063144401268,0.3602519619346788,7.187596717958951,3.0872379822885485e-10
10,bad is down,VERB,0.4690284037295683,0.41595355636800996,5.9493400980652345,6.769825428865068e-08
1,importance is size,NOUN,0.395949070284396,0.3621831749639527,2.606176482856359,0.010916688332755494
2,active is life,NOUN,0.44653682852232895,0.38405283896213166,5.093948751258639,2.2872736064398984e-06
3,life is journey,NOUN,0.3354203230069007,0.3755266977599318,-4.160440716265441,7.936415491324692e-05
4,failure is death,NOUN,0.4430155583001949,0.37025096372318833,5.925239126790638,7.49638190340897e-08
5,success is life,NOUN,0.41250043481956294,0.36870325806937976,3.4736580771054104,0.0008315801349590181
6,perceiving is eating,NOUN,0.3139637636917609,0.37215046095850773,-6.869037952350874,1.2651265300105397e-09
7,affection is warmth,NOUN,0.36389560381203523,0.3743147305234678,-0.6726781318688656,0.5030904968914696
8,money is liquid,NOUN,0.26408980032544077,0.36483451730659067,-18.556358906068397,1.01925547624246e-30
9,good is up,NOUN,0.26446959413128135,0.36965420843752617,-9.790759772628306,2.4746051556032588e-15
10,bad is down,NOUN,0.30798452181948555,0.3625940995325153,-5.02524482926255,3.0044932147082215e-06
