metaphor-id,metaphor-name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,0.45735342951957136,0.31496193301687125,38.28388670457803,2.7490350010011713e-160
2,active is life,all,0.43272757481059265,0.32544214550510625,28.193442005159316,1.7731329301508925e-110
3,life is journey,all,0.403116791573767,0.3277717206223613,18.46182082064903,4.1382769275900403e-60
4,failure is death,all,0.4340767714246694,0.31017631521188105,27.72135019382808,4.800832268691922e-108
5,success is life,all,0.41324967321836287,0.3304204425830338,19.738839449694815,1.3167994634569713e-66
6,perceiving is eating,all,0.3637444360129949,0.3171345144328014,11.834889384598851,4.4990972464072263e-29
7,affection is warmth,all,0.3814365888376617,0.3400675781666081,10.312999920196043,5.374488262966692e-23
8,money is liquid,all,0.34107682115346605,0.3181975515633682,6.621026640137443,8.194821527193529e-11
9,good is up,all,0.3742039624032461,0.31768514805399845,12.690696625661666,1.0405187898920545e-32
10,bad is down,all,0.3969097421504557,0.31992150688299203,16.185713008256787,7.885465535123663e-49
1,importance is size,ADJ,0.4687900363933295,0.3168362577935636,9.914812913396863,1.747213279527205e-14
2,active is life,ADJ,0.4437548064161092,0.3197778209075659,9.696583043646609,4.1101825455570375e-14
3,life is journey,ADJ,0.4329513271804899,0.33870325218333164,7.608450178935449,1.7279966043530018e-10
4,failure is death,ADJ,0.4005466524977237,0.3073641046816044,7.110911396003082,1.2802398466279007e-09
5,success is life,ADJ,0.39699433860369027,0.354904171617236,3.74105182904373,0.00039826464358903364
6,perceiving is eating,ADJ,0.3774591910187155,0.31262916635110743,6.0689650329065525,8.099753831902601e-08
7,affection is warmth,ADJ,0.4172664217185229,0.3223315045458003,7.440964262475922,3.3929835346616144e-10
8,money is liquid,ADJ,0.3356262012384832,0.31914382224575094,1.830256553839119,0.07194277698248137
9,good is up,ADJ,0.4063734281808138,0.3155873203670126,8.096981417375583,2.414609416577557e-11
10,bad is down,ADJ,0.3727425441611558,0.3222218424186576,4.892084705061293,7.236117098689623e-06
1,importance is size,VERB,0.523980837315321,0.3099388015344448,19.750379286338152,1.1009784152500858e-28
2,active is life,VERB,0.5071357376873493,0.34768200729933596,17.916912100440165,2.0435676159085912e-26
3,life is journey,VERB,0.4927125535905361,0.31860442670673367,16.50042825789891,1.4919204063993974e-24
4,failure is death,VERB,0.5315759428776801,0.3134033582419215,18.765885272704708,1.740150940095902e-27
5,success is life,VERB,0.5169006125070155,0.3114930157888011,19.53579584580993,1.9923258865291198e-28
6,perceiving is eating,VERB,0.5023244312033057,0.32617104212433334,22.162291773726587,1.9073982418673452e-31
7,affection is warmth,VERB,0.4402389591559768,0.35201595166676725,12.545992979092086,8.688710107131942e-19
8,money is liquid,VERB,0.4332920778542757,0.30949045637251404,14.637233932968876,6.073233967614517e-22
9,good is up,VERB,0.50188859552145,0.3066348088015002,15.799710901820701,1.3597733438939173e-23
10,bad is down,VERB,0.5463147237896919,0.31287835910452033,14.858854630260037,2.905377480638723e-22
1,importance is size,NOUN,0.4638574090786278,0.3121165118895442,16.396422512826955,2.063351381014616e-24
2,active is life,NOUN,0.4423722140491009,0.3181412250743324,10.801208737593265,5.679523612268051e-16
3,life is journey,NOUN,0.39687445713207126,0.31365146089505286,7.015513296197603,1.877869889708448e-09
4,failure is death,NOUN,0.4672923821490258,0.3084856125610531,11.301009128384951,8.543646574643382e-17
5,success is life,NOUN,0.4582776972092688,0.3218811876885593,9.625828436588447,5.428885575612847e-14
6,perceiving is eating,NOUN,0.3536786043550819,0.31705397494100906,3.6836518009583332,0.00047961213698487296
7,affection is warmth,NOUN,0.384467069292441,0.3353133346834693,3.241025127246602,0.0019045522526117509
8,money is liquid,NOUN,0.3683315480593592,0.3192744886139826,5.409114538913234,1.0424688323552928e-06
9,good is up,NOUN,0.3345893560908735,0.32383106942404993,0.8200433382950997,0.4152832576785951
10,bad is down,NOUN,0.4053089553490281,0.3161982873947409,6.962339755614038,2.3244322751609473e-09
