metaphor-id,metaphor-name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,0.25969167975568314,0.34527107808161506,-24.6093362314609,8.823367412525374e-98
2,active is life,all,0.30477603010843485,0.4055645747268662,-22.5164378279527,1.2987937949391228e-85
3,life is journey,all,0.2272288696265515,0.33636593426083344,-26.219022673038246,3.3004530778258436e-107
4,failure is death,all,0.2666539696999538,0.33746131520989164,-17.979320918867447,4.359252506161092e-60
5,success is life,all,0.22559059904926598,0.345430014172035,-30.93826269277355,8.128995631337777e-135
6,perceiving is eating,all,0.18392156941409954,0.34489131467128153,-54.38674415500224,1.2928844906287554e-258
7,affection is warmth,all,0.24651123295105043,0.3328372293228312,-22.08404012320152,4.0416227502887284e-83
8,money is liquid,all,0.18813865309880104,0.3242444521442199,-46.16519513074821,1.88689378280602e-218
9,good is up,all,0.21937104254266035,0.33806737448861734,-34.706097667843906,1.7388572852025348e-156
10,bad is down,all,0.25363979082866295,0.34175643355471935,-24.528520776253547,2.617187285464585e-97
1,importance is size,ADJ,0.15160103565380897,0.2312901728278325,-8.092231538747585,5.334471724227839e-12
2,active is life,ADJ,0.1913418600588669,0.251371309256848,-5.004780467980828,3.2577149989956116e-06
3,life is journey,ADJ,0.22440938817130196,0.26372035450773473,-2.3693004269589046,0.0202318662247217
4,failure is death,ADJ,0.20051578754260216,0.254070401088691,-4.3071004658966485,4.659699470652558e-05
5,success is life,ADJ,0.1659930024617984,0.309969127803213,-10.083379610274186,6.650295105029613e-16
6,perceiving is eating,ADJ,0.1320670438401493,0.21775667807938137,-8.24751283581542,2.645228471433878e-12
7,affection is warmth,ADJ,0.1786002450519138,0.2204458510654944,-3.1448931672875027,0.0023324482813616037
8,money is liquid,ADJ,0.16877119298334475,0.26459118950974064,-7.8621141301927455,1.5056512092371088e-11
9,good is up,ADJ,0.17041972831443505,0.26172091179055934,-7.902020280084971,1.2579394074726785e-11
10,bad is down,ADJ,0.17089480897526682,0.24298948878491364,-8.016650453580045,7.502740362305559e-12
1,importance is size,VERB,0.2616313832041658,0.26434259245425096,-0.19583697839895584,0.845234350245812
2,active is life,VERB,0.2117231179166723,0.3899350115730439,-13.716949221538512,1.0278556446308332e-22
3,life is journey,VERB,0.20925415813187023,0.23312224301291098,-1.4851415193197608,0.14143631538212043
4,failure is death,VERB,0.21095130252249447,0.2279431752584599,-1.3974900165625181,0.16612990173544936
5,success is life,VERB,0.22052179957613532,0.2012736425355629,1.7559016624876107,0.08293258412244463
6,perceiving is eating,VERB,0.155214406825878,0.2535197936973454,-11.085181873566436,7.734897004502726e-18
7,affection is warmth,VERB,0.1315973268614875,0.22628730093255459,-10.939236898007676,1.4726073565561783e-17
8,money is liquid,VERB,0.09618661285918435,0.20308499976440708,-14.595397958606478,2.9085863057154918e-24
9,good is up,VERB,0.12374784328319409,0.22675506062713677,-12.127167455093144,8.276910688629488e-20
10,bad is down,VERB,0.17518199520346558,0.25862254958277864,-7.375752891126304,1.3346406113286677e-10
1,importance is size,NOUN,0.17592658231287828,0.21090958391442713,-3.0591253702716013,0.00301970597419166
2,active is life,NOUN,0.21934821134732094,0.24979721754789352,-2.273166961622936,0.025697942658147274
3,life is journey,NOUN,0.16964470162803744,0.24978462894389658,-6.832428675730883,1.4864725124739565e-09
4,failure is death,NOUN,0.18652969304426217,0.21660054915481144,-1.9770661564883325,0.0514790784129664
5,success is life,NOUN,0.14800169364905652,0.22142702973551223,-6.415066824673808,9.203746929424758e-09
6,perceiving is eating,NOUN,0.1280392320067794,0.2536185629500283,-14.653280526274717,2.3075481970326567e-24
7,affection is warmth,NOUN,0.2078056541489966,0.2515069593397188,-3.1298755582220448,0.00244114355855713
8,money is liquid,NOUN,0.08088083841182568,0.22879900490060265,-25.248852052755296,7.322510986959743e-40
9,good is up,NOUN,0.16873100216006054,0.2690707698721944,-9.567117800942025,6.775379939420024e-15
10,bad is down,NOUN,0.1542016194190508,0.22583902735769013,-7.269150126261122,2.147368712019391e-10
