metaphor-id,metaphor-name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,0.24872718549069064,0.2925947358182264,-13.400146844443173,9.304333819056817e-37
2,active is life,all,0.2974253361853062,0.32730970535851467,-7.919233716231498,8.935069593741323e-15
3,life is journey,all,0.2963335858696282,0.34404097168676984,-11.191466970070422,6.140898034184888e-27
4,failure is death,all,0.3184557006846403,0.30404207575345726,3.890648654500985,0.00010913831633316459
5,success is life,all,0.26655497631908937,0.2939841446288656,-8.04396348402544,3.5276713044041743e-15
6,perceiving is eating,all,0.26966035656314163,0.3112302605789385,-11.492239983587353,3.3082382923141832e-28
7,affection is warmth,all,0.20143563270732373,0.3226255876774324,-30.626966943283765,5.2489105253175056e-133
8,money is liquid,all,0.21594132840715155,0.29095361604285014,-25.178300749385475,4.1459573833041364e-101
9,good is up,all,0.22736487974028202,0.3048352797188386,-21.102145968269372,1.7020812948850158e-77
10,bad is down,all,0.21968121211388147,0.2976707666822095,-23.09584113141015,5.7539415632023825e-89
1,importance is size,ADJ,0.23078673158162905,0.20538861953917845,1.852683365704772,0.06761561245982128
2,active is life,ADJ,0.3068565075044279,0.22031347659634956,5.636461336377094,2.514018263120054e-07
3,life is journey,ADJ,0.24768007905394943,0.26579719663034246,-1.014106366932113,0.31358930300585425
4,failure is death,ADJ,0.24568178918626574,0.2120027326801677,2.802454304977957,0.0063597423328673
5,success is life,ADJ,0.25783291753427484,0.2407573508590827,1.2184827961082236,0.226621694270233
6,perceiving is eating,ADJ,0.26150030854307577,0.172066103503292,6.6749392366107525,2.9675652398984832e-09
7,affection is warmth,ADJ,0.20952092276679146,0.20529598467511895,0.35997110872501087,0.7198173187326347
8,money is liquid,ADJ,0.1494354451144183,0.18622256758036435,-3.689337425755256,0.00040856835296877345
9,good is up,ADJ,0.17377817262837916,0.21536824278257513,-4.209483865488061,6.64931519796701e-05
10,bad is down,ADJ,0.1351369457480348,0.20162857360310021,-6.5148448269080905,5.968093554203414e-09
1,importance is size,VERB,0.16023615333769056,0.19283294310172397,-3.3167382085400177,0.0013714740418189957
2,active is life,VERB,0.1617411279384001,0.24141221934170634,-7.310518148413589,1.7857268345796383e-10
3,life is journey,VERB,0.1590226277892972,0.19325777256930315,-3.0148915912643544,0.003443671815801571
4,failure is death,VERB,0.19812799603850753,0.20038552667991616,-0.16805885392273778,0.866961120804486
5,success is life,VERB,0.16471535703282297,0.1729427421240159,-0.7287296946452659,0.4682949743679471
6,perceiving is eating,VERB,0.11847814586427477,0.22516624913171485,-14.30835221393665,9.224712007724053e-24
7,affection is warmth,VERB,0.1253156735573286,0.2246782643780296,-12.785867685886442,4.990726189784504e-21
8,money is liquid,VERB,0.14264041553308934,0.16796154607225347,-3.3964236488666555,0.0010656926999708766
9,good is up,VERB,0.18206975857416788,0.19672578439300445,-1.0996452023318413,0.2747848667475005
10,bad is down,VERB,0.21320813673513908,0.18873609449760412,1.9156802116476952,0.05897865085249101
1,importance is size,NOUN,0.19980113005932468,0.1878808743276714,1.115872660765433,0.2678172501189661
2,active is life,NOUN,0.15765240236564917,0.20030070546968484,-3.8976189626894353,0.00020079107245810044
3,life is journey,NOUN,0.1887716562659652,0.1944361755803779,-0.5126600190505105,0.6096018013071942
4,failure is death,NOUN,0.22550256311157604,0.22647128914609368,-0.06480606584886137,0.9484900791053001
5,success is life,NOUN,0.13787826638162873,0.1696282176691809,-2.9926588885124583,0.0036770207919748416
6,perceiving is eating,NOUN,0.19150936897890067,0.20727619176293594,-1.5746127288329674,0.11929250235271893
7,affection is warmth,NOUN,0.2134787697850922,0.20913563701841567,0.2987062119323096,0.765938749702948
8,money is liquid,NOUN,0.11106911485577807,0.19211770055470645,-9.824412866315917,2.1270259263169537e-15
9,good is up,NOUN,0.19838912693070776,0.2435545543056947,-3.7224465812421137,0.0003655057185965987
10,bad is down,NOUN,0.17025212226090608,0.17193005701274042,-0.17312767284971406,0.8629883639497287
