pos,mean_similarity,mean_baseline_mixed,mean_baseline_saved,mean_test_stat_mixed,mean_test_stat_saved,mean_p_value_mixed,mean_p_value_saved,amount_pos_sign_mixed,amount_pos_sign_saved,amount_pos_insign_mixed,amount_pos_insign_saved,amount_neg_sign_mixed,amount_neg_sign_saved,amount_neg_insign_mixed,amount_neg_insign_saved
VERB,0.22628835596140787,0.2264098543753398,0.26573507816334685,-0.27090714897719187,-4.2972430179075385,0.12289231673645395,0.03811585539969342,44,34,21,5,67,112,28,9
ADJ,0.21914742937627435,0.22946517759415266,0.26872915724173996,-1.1135181504580582,-4.59978186512153,0.0678326893860712,0.06103391979352903,51,29,19,16,75,102,15,13
NOUN,0.2058682316163795,0.2223282512473078,0.26266969839687915,-2.199218304165961,-6.144732569427336,0.13930109453936237,0.03157642710665374,33,28,20,4,83,123,24,5
all,0.2500743213083609,0.2875054721888254,0.2848445273340944,-10.399181817746758,-9.517409743260437,0.002357155194719186,0.005750159443272488,45,46,1,0,113,112,1,2
