baseline,corpus,weighted,method,pos,metaphor,similarity_value,baseline_value,test_stat,p_value
mixedBL,gutenberg,weighted,canberra,all,6 perceiving is eating,0.1222469290721766,0.1784534050463674,-28.24292150886479,4.445596320033367e-119
mixedBL,gutenberg,weighted,canberra,all,7 affection is warmth,0.1195200495539158,0.1661297276096338,-23.72848169060409,1.2129086803439674e-92
mixedBL,gutenberg,weighted,canberra,all,8 money is liquid,0.1196563821000013,0.1774089670235558,-32.46298358196039,1.212006922387606e-143
mixedBL,gutenberg,weighted,canberra,all,9 good is up,0.1477516719875193,0.1726092310928124,-12.83325498745034,3.939992727606722e-34
mixedBL,gutenberg,weighted,canberra,all,10 bad is down,0.1211157455561432,0.1865968371344382,-31.264585618562595,1.0359258682569296e-136
mixedBL,gutenberg,weighted,canberra,ADJ,1 importance is size,0.0732940753023119,0.1382814056286225,-11.99577990966666,1.4577117777707841e-19
mixedBL,gutenberg,weighted,canberra,ADJ,2 active is life,0.164897917275202,0.122135969486293,4.574871635167192,1.7187450076389962e-05
mixedBL,gutenberg,weighted,canberra,ADJ,3 life is journey,0.1466281021321867,0.1326951444983974,1.7541836464995522,0.083228460273641
mixedBL,gutenberg,weighted,canberra,ADJ,4 failure is death,0.1233788123497255,0.1321251609175655,-1.1547034297328287,0.2516494458141989
mixedBL,gutenberg,weighted,canberra,ADJ,5 success is life,0.1372142185537046,0.1565441327031593,-2.5611487583576564,0.0123118607676878
mixedBL,gutenberg,weighted,canberra,ADJ,6 perceiving is eating,0.0655621438081973,0.1325026262429634,-15.922104999333603,1.606958520155665e-26
mixedBL,gutenberg,weighted,canberra,ADJ,7 affection is warmth,0.0904968618680474,0.1109577165053954,-3.2888026372354298,0.0014969486680529
mixedBL,gutenberg,weighted,canberra,ADJ,8 money is liquid,0.0947917466994419,0.1400109378714072,-6.383232826156983,1.0563755714505154e-08
mixedBL,gutenberg,weighted,canberra,ADJ,9 good is up,0.1410589142566875,0.1217086369107737,2.968920970332068,0.0039422754555109
mixedBL,gutenberg,weighted,canberra,ADJ,10 bad is down,0.0773527975560056,0.1223787227642319,-8.940403189816625,1.150294241704438e-13
mixedBL,gutenberg,weighted,canberra,VERB,1 importance is size,0.1221320209486817,0.1188942927552234,0.4108281677821097,0.6822968936404233
mixedBL,gutenberg,weighted,canberra,VERB,2 active is life,0.1158767900091066,0.1822320947348233,-8.357106174323718,1.6116530033273292e-12
mixedBL,gutenberg,weighted,canberra,VERB,3 life is journey,0.1097748304577939,0.1279603266169037,-2.510350201923297,0.0140774400741913
mixedBL,gutenberg,weighted,canberra,VERB,4 failure is death,0.1594716038251431,0.1291628974241884,3.561349623973633,0.0006248632845644
mixedBL,gutenberg,weighted,canberra,VERB,5 success is life,0.0961968543963307,0.11944912395216,-3.702143950174656,0.0003913684575175
mixedBL,gutenberg,weighted,canberra,VERB,6 perceiving is eating,0.1038433592701102,0.1187542376039172,-2.3394704803075883,0.0218056621031391
mixedBL,gutenberg,weighted,canberra,VERB,7 affection is warmth,0.0763365924992764,0.1142746072724145,-7.770897133585268,2.2699339852012177e-11
mixedBL,gutenberg,weighted,canberra,VERB,8 money is liquid,0.0694441326981249,0.1285221984014418,-12.831441033928684,4.1169669419430166e-21
mixedBL,gutenberg,weighted,canberra,VERB,9 good is up,0.101820212847204,0.1261169991414634,-4.025571711033674,0.0001283376032005
mixedBL,gutenberg,weighted,canberra,VERB,10 bad is down,0.1091261829455844,0.130425180427031,-3.0546429775761017,0.0030603489005453
mixedBL,gutenberg,weighted,canberra,NOUN,1 importance is size,0.1082886343169259,0.1251349596995736,-2.5271270503485948,0.0134706332192632
mixedBL,gutenberg,weighted,canberra,NOUN,2 active is life,0.0964645125101217,0.1442706524080774,-6.375293021126923,1.0932854620425104e-08
mixedBL,gutenberg,weighted,canberra,NOUN,3 life is journey,0.0708884178536182,0.1116309274455051,-7.907845729416087,1.2253517880131432e-11
mixedBL,gutenberg,weighted,canberra,NOUN,4 failure is death,0.1326057848772106,0.1218064460335552,1.5042438465083312,0.1364564593074667
mixedBL,gutenberg,weighted,canberra,NOUN,5 success is life,0.0929829520384926,0.1263874052996839,-5.148024619775116,1.8432397511875164e-06
mixedBL,gutenberg,weighted,canberra,NOUN,6 perceiving is eating,0.0993524873185642,0.1280770418198626,-5.048725186728944,2.737600519578575e-06
mixedBL,gutenberg,weighted,canberra,NOUN,7 affection is warmth,0.090772411520302,0.1233918627251327,-4.91035688815016,4.7228254026724285e-06
mixedBL,gutenberg,weighted,canberra,NOUN,8 money is liquid,0.0751519572041908,0.127016826042667,-12.525960284432283,1.502687783301995e-20
mixedBL,gutenberg,weighted,canberra,NOUN,9 good is up,0.0904809389908555,0.1197122999988488,-5.168883816309626,1.695538570004344e-06
mixedBL,gutenberg,weighted,canberra,NOUN,10 bad is down,0.0921050576558603,0.1169101494718677,-4.227614843099759,6.226466155528271e-05
mixedBL,gutenberg,unweighted,cosine,all,1 importance is size,0.3198672364879813,0.3665186116430626,-10.184825720568623,1.6489830854995514e-22
mixedBL,gutenberg,unweighted,cosine,all,2 active is life,0.386530571966432,0.4137774149189037,-5.52031470716483,5.1271861417789144e-08
mixedBL,gutenberg,unweighted,cosine,all,3 life is journey,0.29079185444991,0.3740337844929713,-20.447850558403587,2.991773484695833e-70
mixedBL,gutenberg,unweighted,cosine,all,4 failure is death,0.3468128470121883,0.3681926683108845,-4.919224663236111,1.13587979431361e-06
mixedBL,gutenberg,unweighted,cosine,all,5 success is life,0.344445727498775,0.3789080595022334,-7.647872726780511,8.639115829188134e-14
mixedBL,gutenberg,unweighted,cosine,all,6 perceiving is eating,0.2778161702056725,0.3778976432291295,-28.971779917477765,1.790061797153891e-114
mixedBL,gutenberg,unweighted,cosine,all,7 affection is warmth,0.2924538230031935,0.3669085219787534,-15.927780491984644,1.3912822214422956e-47
